Entity,Code,Year,Consumer price index (2010 = 100)
United Kingdom,GBR,1975,17.216494
United Kingdom,GBR,1976,20.067463
United Kingdom,GBR,1977,23.246202
United Kingdom,GBR,1978,25.167068
United Kingdom,GBR,1979,28.544811
United Kingdom,GBR,1980,33.67315
United Kingdom,GBR,1981,37.672386
United Kingdom,GBR,1982,40.91178
United Kingdom,GBR,1983,42.79753
United Kingdom,GBR,1984,44.920593
United Kingdom,GBR,1985,47.6479
United Kingdom,GBR,1986,49.281082
United Kingdom,GBR,1987,51.325714
United Kingdom,GBR,1988,53.45848
United Kingdom,GBR,1989,56.537823
United Kingdom,GBR,1990,61.096725
United Kingdom,GBR,1991,65.65563
United Kingdom,GBR,1992,68.67024
United Kingdom,GBR,1993,70.42722
United Kingdom,GBR,1994,71.99001
United Kingdom,GBR,1995,73.93194
United Kingdom,GBR,1996,76.04032
United Kingdom,GBR,1997,77.71407
United Kingdom,GBR,1998,79.12891
United Kingdom,GBR,1999,80.516
United Kingdom,GBR,2000,81.46847
United Kingdom,GBR,2001,82.71685
United Kingdom,GBR,2002,83.97448
United Kingdom,GBR,2003,85.13039
United Kingdom,GBR,2004,86.31404
United Kingdom,GBR,2005,88.117256
United Kingdom,GBR,2006,90.28112
United Kingdom,GBR,2007,92.43573
United Kingdom,GBR,2008,95.69077
United Kingdom,GBR,2009,97.56797
United Kingdom,GBR,2010,100
United Kingdom,GBR,2011,103.85611
United Kingdom,GBR,2012,106.52857
United Kingdom,GBR,2013,108.96986
United Kingdom,GBR,2014,110.55114
United Kingdom,GBR,2015,110.958015
United Kingdom,GBR,2016,112.076935
United Kingdom,GBR,2017,114.94359
United Kingdom,GBR,2018,117.57906
United Kingdom,GBR,2019,119.62271
United Kingdom,GBR,2020,120.80636
United Kingdom,GBR,2021,123.84872
United Kingdom,GBR,2022,133.66006
United Kingdom,GBR,2023,142.74089
United Kingdom,GBR,2024,147.41077
United States,USA,1960,13.563061
United States,USA,1961,13.708283
United States,USA,1962,13.872615
United States,USA,1963,14.04459
United States,USA,1964,14.224208
United States,USA,1965,14.449685
United States,USA,1966,14.885354
United States,USA,1967,15.298093
United States,USA,1968,15.951596
United States,USA,1969,16.822935
United States,USA,1970,17.8051
United States,USA,1971,18.569431
United States,USA,1972,19.177074
United States,USA,1973,20.361788
United States,USA,1974,22.612745
United States,USA,1975,24.680262
United States,USA,1976,26.098095
United States,USA,1977,27.794912
United States,USA,1978,29.915932
United States,USA,1979,33.28281
United States,USA,1980,37.792366
United States,USA,1981,41.6981
United States,USA,1982,44.254787
United States,USA,1983,45.676445
United States,USA,1984,47.640778
United States,USA,1985,49.32995
United States,USA,1986,50.266254
United States,USA,1987,52.10829
United States,USA,1988,54.233135
United States,USA,1989,56.85097
United States,USA,1990,59.91976
United States,USA,1991,62.45734
United States,USA,1992,64.34906
United States,USA,1993,66.24842
United States,USA,1994,67.975815
United States,USA,1995,69.88282
United States,USA,1996,71.93123
United States,USA,1997,73.612755
United States,USA,1998,74.75543
United States,USA,1999,76.391106
United States,USA,2000,78.97072
United States,USA,2001,81.20257
United States,USA,2002,82.49046
United States,USA,2003,84.363075
United States,USA,2004,86.62168
United States,USA,2005,89.56053
United States,USA,2006,92.44971
United States,USA,2007,95.08699
United States,USA,2008,98.73748
United States,USA,2009,98.38642
United States,USA,2010,100
United States,USA,2011,103.156845
United States,USA,2012,105.291504
United States,USA,2013,106.83385
United States,USA,2014,108.56693
United States,USA,2015,108.695724
United States,USA,2016,110.06701
United States,USA,2017,112.41156
United States,USA,2018,115.1573
United States,USA,2019,117.244194
United States,USA,2020,118.6905
United States,USA,2021,124.26641
United States,USA,2022,134.21121
United States,USA,2023,139.7358
United States,USA,2024,143.85733
